1901,regular,1901-09-28T00:00:00.000Z,@Beloit College,Beloit College,34-0,Rockford YMCA,0.8925000000000004,71.9425
1901,regular,1901-09-28T00:00:00.000Z,@Beloit College,Rockford YMCA,0-34,Beloit College,0.8925000000000004,69.1075
1901,regular,1901-09-28T00:00:00.000Z,@Buffalo,Buffalo,5-0,Columbia,0.7000000000000001,70.7
1901,regular,1901-09-28T00:00:00.000Z,@Buffalo,Columbia,0-5,Buffalo,0.7000000000000001,69.3
1901,regular,1901-09-28T00:00:00.000Z,@Illinois,Illinois,39-0,Englewood High,0.8751749999999987,70.875175
1901,regular,1901-09-28T00:00:00.000Z,@Illinois,Englewood High,0-39,Illinois,0.8751749999999987,67.95932499999999
1901,regular,1901-09-28T00:00:00.000Z,@Princeton,Princeton,35-0,Villanova,1.05,71.05
1901,regular,1901-09-28T00:00:00.000Z,@Princeton,Villanova,0-35,Princeton,1.05,68.95
1901,regular,1901-09-28T00:00:00.000Z,@Cornell,Cornell,17-0,Colgate,1.05,71.05
1901,regular,1901-09-28T00:00:00.000Z,@Cornell,Colgate,0-17,Cornell,1.05,68.95
1901,regular,1901-09-28T00:00:00.000Z,@Holy Cross,Holy Cross,0-17,UMass,1.95,68.05
1901,regular,1901-09-28T00:00:00.000Z,@Holy Cross,UMass,17-0,Holy Cross,1.95,71.95
1901,regular,1901-09-28T00:00:00.000Z,@Chicago,Chicago,23-0,Monmouth,0.9600824999999993,71.5595325
1901,regular,1901-09-28T00:00:00.000Z,@Chicago,Monmouth,0-23,Chicago,0.9600824999999993,69.0399175
1901,regular,1901-09-28T00:00:00.000Z,@Carlisle,Carlisle,19-6,Gallaudet,0.5950000000000003,71.645
1901,regular,1901-09-28T00:00:00.000Z,@Carlisle,Gallaudet,6-19,Carlisle,0.5950000000000003,69.405
1901,regular,1901-09-28T00:00:00.000Z,@Dickinson,Dickinson,12-0,Susquehanna,0.5950000000000003,70.595
1901,regular,1901-09-28T00:00:00.000Z,@Dickinson,Susquehanna,0-12,Dickinson,0.5950000000000003,68.355
1901,regular,1901-09-28T00:00:00.000Z,@Pennsylvania,Pennsylvania,28-0,Lehigh,1.05,71.05
1901,regular,1901-09-28T00:00:00.000Z,@Pennsylvania,Lehigh,0-28,Pennsylvania,1.05,68.95
1901,regular,1901-09-28T00:00:00.000Z,@Syracuse,Syracuse,26-0,Rensselaer,0.8925000000000004,71.9425
1901,regular,1901-09-28T00:00:00.000Z,@Syracuse,Rensselaer,0-26,Syracuse,0.8925000000000004,69.1075
1901,regular,1901-09-28T00:00:00.000Z,@Tufts,Tufts,5-0,Wesleyan (CT),0.7000000000000001,70.7
1901,regular,1901-09-28T00:00:00.000Z,@Tufts,Wesleyan (CT),0-5,Tufts,0.7000000000000001,69.3
1901,regular,1901-09-28T00:00:00.000Z,@Harvard,Harvard,16-0,Williams,1.05,71.05
1901,regular,1901-09-28T00:00:00.000Z,@Harvard,Williams,0-16,Harvard,1.05,68.95
1901,regular,1901-09-28T00:00:00.000Z,@Brown,Brown,12-0,Boston College,0.7000000000000001,70.7
1901,regular,1901-09-28T00:00:00.000Z,@Brown,Boston College,0-12,Brown,0.7000000000000001,69.3
1901,regular,1901-09-28T00:00:00.000Z,@Indiana,Indiana,24-6,Wabash College,1.05,71.05
1901,regular,1901-09-28T00:00:00.000Z,@Indiana,Wabash College,6-24,Indiana,1.05,68.95
1901,regular,1901-09-28T00:00:00.000Z,@Amherst College,Amherst College,6-0,Worcester Polytechnic,0.7000000000000001,70.7
1901,regular,1901-09-28T00:00:00.000Z,@Amherst College,Worcester Polytechnic,0-6,Amherst College,0.7000000000000001,69.3
1901,regular,1901-09-28T00:00:00.000Z,@South Bend A.C.,South Bend A.C.,0-0,Notre Dame,0.30000000000000004,69.7
1901,regular,1901-09-28T00:00:00.000Z,@South Bend A.C.,Notre Dame,0-0,South Bend A.C.,0.30000000000000004,70.3
1901,regular,1901-09-28T00:00:00.000Z,@Iowa State,Iowa State,0-0,Grinnell,0.19500000000000028,69.805
1901,regular,1901-09-28T00:00:00.000Z,@Iowa State,Grinnell,0-0,Iowa State,0.19500000000000028,71.245
1901,regular,1901-09-29T00:00:00.000Z,@Penn State,Penn State,33-0,Pittsburgh,0.8925000000000004,71.9425
1901,regular,1901-09-29T00:00:00.000Z,@Penn State,Pittsburgh,0-33,Penn State,0.8925000000000004,69.1075
1901,regular,1901-09-29T00:00:00.000Z,@Kansas,Kansas,5-16,Ottawa,1.3,68.7
1901,regular,1901-09-29T00:00:00.000Z,@Kansas,Ottawa,16-5,Kansas,1.3,71.3
1901,regular,1901-10-02T00:00:00.000Z,@Brown,Brown,16-0,Colby,0.9449999999999995,71.645
1901,regular,1901-10-02T00:00:00.000Z,@Brown,Colby,0-16,Brown,0.9449999999999995,69.055
1901,regular,1901-10-02T00:00:00.000Z,@Princeton,Princeton,47-0,Haverford,0.8925000000000004,71.9425
1901,regular,1901-10-02T00:00:00.000Z,@Princeton,Haverford,0-47,Princeton,0.8925000000000004,69.1075
1901,regular,1901-10-02T00:00:00.000Z,@Chicago,Chicago,12-0,Milwaukee Medical,0.43904675,71.99857925
1901,regular,1901-10-02T00:00:00.000Z,@Chicago,Milwaukee Medical,0-12,Chicago,0.43904675,68.51095325
1901,regular,1901-10-02T00:00:00.000Z,@Dartmouth,Dartmouth,51-0,New Hampshire,1.05,71.05
1901,regular,1901-10-02T00:00:00.000Z,@Dartmouth,New Hampshire,0-51,Dartmouth,1.05,68.95
1901,regular,1901-10-02T00:00:00.000Z,@Cornell,Cornell,50-0,Rochester,0.8925000000000004,71.9425
1901,regular,1901-10-02T00:00:00.000Z,@Cornell,Rochester,0-50,Cornell,0.8925000000000004,69.1075
1901,regular,1901-10-02T00:00:00.000Z,@Vermont,Vermont,43-0,Vermont Methodist Seminary,1.05,71.05
1901,regular,1901-10-02T00:00:00.000Z,@Vermont,Vermont Methodist Seminary,0-43,Vermont,1.05,68.95
1901,regular,1901-10-02T00:00:00.000Z,@Carlisle,Carlisle,5-6,Gettysburg,1.4644999999999997,70.1805
1901,regular,1901-10-02T00:00:00.000Z,@Carlisle,Gettysburg,6-5,Carlisle,1.4644999999999997,71.4645
1901,regular,1901-10-02T00:00:00.000Z,@Rutgers,Rutgers,0-27,Columbia,2.055,67.945
1901,regular,1901-10-02T00:00:00.000Z,@Rutgers,Columbia,27-0,Rutgers,2.055,71.355
